file_path,size_bytes
.gitignore,99
.streamlit/config.toml,155
LICENSE,366
README.md,1950
data/answer_key.csv,14733
data/live_video_questions.csv,836
data/model_answers.csv,16648
data/questions.csv,9355
data/score_summary.csv,7846
data/sources.csv,2452
docs/case_explanations.md,21755
docs/files_inventory.csv,839
docs/findings.md,805
docs/methodology.md,1211
docs/scoring_rubric.md,567
docs/team_roles.md,538
presentation/slides_outline.md,680
prompts/chatgpt_questions.txt,6463
prompts/grok_questions.txt,6463
prompts/live_video_questions.txt,562
prompts/main_prompt.txt,183
requirements.txt,44
results/false_premise_failures.csv,5058
results/final_scores.csv,140
results/live_final_scores.csv,136
results/score_chart_full.png,34235
results/score_chart_live.png,28377
scripts/generate_charts.py,963
scripts/score_answers.py,1545
streamlit_app/README.md,583
streamlit_app/app.py,6501
streamlit_app/requirements.txt,44
video/final_video_link.txt,28
video/speaking_parts.md,713
video/video_script.md,1306
